DATATYPE,PRODUCT,ITEM1,ITEM2,ENERGY_PRODUCT,MAIN_FLOW,FLOW_BREAKDOWN,PLANT_TYPE,STOCKS,VIS_A_VIS_AREA,MEASURE_VALUE_TYPE,UNIT_MEASURE
BALANCE,CRUDEOIL,INDPROD,,O4100,PRODUCT,INDPROD,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,OSOURCES,,O4100,PRODUCT,OSOURCES,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,PTRANSF,,O4100,TRANSFER,PTRANSF,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,TOTIMPSB,,O4100,IMPORTS,TOTIMPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,TOTEXPSB,,O4100,EXPORTS,TOTEXPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,DIRECUSE,,O4100,TRANSFER,DIRECUSE,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,STCHANAT,,O4100,STOCKS,STOCKCH,_Z,NATTER,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,REFINCAL,,O4100,SUPPLY,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,STATDIFF,,O4100,STATDIFF,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,REFINOBS,,O4100,DEMAND,REFINOBS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,CRUDEOIL,REFLOSS,,O4100,LOSSES,REFLOSS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,INDPROD,,O4200,PRODUCT,INDPROD,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,OSOURCES,,O4200,PRODUCT,OSOURCES,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,TOTIMPSB,,O4200,IMPORTS,TOTIMPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,TOTEXPSB,,O4200,EXPORTS,TOTEXPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,DIRECUSE,,O4200,TRANSFER,DIRECUSE,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,STCHANAT,,O4200,STOCKS,STOCKCH,_Z,NATTER,_Z,WEIGHT,KT
BALANCE,NGL,REFINCAL,,O4200,SUPPLY,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,STATDIFF,,O4200,STATDIFF,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,REFINOBS,,O4200,DEMAND,REFINOBS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,NGL,REFLOSS,,O4200,LOSSES,REFLOSS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,INDPROD,,O4300,PRODUCT,INDPROD,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,OSOURCES,,O4300,PRODUCT,OSOURCES,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,BACKFLOW,,O4300,SUPPLY,BACKFLOW,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,PTRANSF,,O4300,TRANSFER,PTRANSF,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,TOTIMPSB,,O4300,IMPORTS,TOTIMPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,TOTEXPSB,,O4300,EXPORTS,TOTEXPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,DIRECUSE,,O4300,TRANSFER,DIRECUSE,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,STCHANAT,,O4300,STOCKS,STOCKCH,_Z,NATTER,_Z,WEIGHT,KT
BALANCE,REFFEEDS,REFINCAL,,O4300,SUPPLY,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,STATDIFF,,O4300,STATDIFF,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,REFINOBS,,O4300,DEMAND,REFINOBS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,REFFEEDS,REFLOSS,,O4300,LOSSES,REFLOSS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,INDPROD,,O4400,PRODUCT,INDPROD,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,OSOURCES,,O4400,PRODUCT,OSOURCES,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,BACKFLOW,,O4400,SUPPLY,BACKFLOW,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,PTRANSF,,O4400,TRANSFER,PTRANSF,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,TOTIMPSB,,O4400,IMPORTS,TOTIMPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,TOTEXPSB,,O4400,EXPORTS,TOTEXPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,DIRECUSE,,O4400,TRANSFER,DIRECUSE,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,STCHANAT,,O4400,STOCKS,STOCKCH,_Z,NATTER,_Z,WEIGHT,KT
BALANCE,ADDITIVE,REFINCAL,,O4400,SUPPLY,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,STATDIFF,,O4400,STATDIFF,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,REFINOBS,,O4400,DEMAND,REFINOBS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,ADDITIVE,REFLOSS,,O4400,LOSSES,REFLOSS,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,INDPROD,,O4410,PRODUCT,INDPROD,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,OSOURCES,,O4410,PRODUCT,OSOURCES,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,BACKFLOW,,O4410,SUPPLY,BACKFLOW,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,PTRANSF,,O4410,TRANSFER,PTRANSF,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,TOTIMPSB,,O4410,IMPORTS,TOTIMPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,TOTEXPSB,,O4410,EXPORTS,TOTEXPSB,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,DIRECUSE,,O4410,TRANSFER,DIRECUSE,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,STCHANAT,,O4410,STOCKS,STOCKCH,_Z,NATTER,_Z,WEIGHT,KT
BALANCE,BIOFUELS,REFINCAL,,O4410,SUPPLY,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
BALANCE,BIOFUELS,STATDIFF,,O4410,STATDIFF,REFINCAL,_Z,_Z,_Z,WEIGHT,KT
